Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:26,ED0334,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:26,ED0334,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:26,ED0334,,Blk 1 L1 Main Side Door,Door Opened,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:26,ED0334,,Blk 1 L1 Lift Lobby Main Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:26,ED0334,,Blk 1 L1 Lift Lobby Main Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:26,ED0334,,Blk 1 L1 Lift Lobby Main Door,Door Opened,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:27,ED0334,,Blk 1 L1 Lift Lobby Main Door,Door Left Opened Alarm,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:41,ED0332,,Blk 1 L1 Lift Lobby Back Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:42,ED0332,,Blk 1 L1 Lift Lobby Main Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/10/2022 01:42,ED0332,,Blk 1 L1 Lift Lobby Main Door,Door Opened,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:35,ED0332,,Blk 1 SSVC Auto Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:35,ED0332,,Blk 1 SSVC Auto Dr,Door Opened,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:35,ED0332,,Blk 1 SSVC Auto Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:35,ED0332,,Blk 1 SSVC Auto Dr,Door Opened,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:36,ED0332,,Blk 1 L1 Lift Lobby Back Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:36,ED0332,,Blk 1 L1 Lift Lobby Back Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:36,ED0332,,Blk 1 L1 Lift Lobby Back Door,Door Opened,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:59,ED0332,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/10/2022 01:59,ED0332,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
