Date&Time,Card #,Name,Location,Transaction,01/04/2022 22:32,7032,,Blk18 L2 SDO Corri Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/04/2022 22:54,ED0256,,Blk 27 L1 CC Main Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,01/04/2022 22:54,ED0256,,Blk 27 L1 CC Office Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/04/2022 22:51,ED0333,,LT79 RIGHT MAIN DR,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/04/2022 23:01,ED0333,,LT68D SIDE DR,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/04/2022 23:01,ED0333,,LT68D SIDE DR,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,02/04/2022 23:01,ED0333,,LT68D SIDE DR,Door Left Opened Alarm,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,04/04/2022 23:02,7032,,Blk18 L2 SDO Corri Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,05/04/2022 22:42,7032,,Blk18 L2 SDO Corri Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,06/04/2022 22:52,12520,,Blk18 L2 SDO Corri Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,07/04/2022 22:10,7032,,Blk18 L2 SDO Corri Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,08/04/2022 22:25,ED0332,,Blk72 L8 BA Main Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,08/04/2022 22:25,ED0332,,Blk72 L8 BA Main Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,08/04/2022 22:25,ED0332,,Blk72 L8 BA Main Dr,Door Left Opened Alarm,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,11/04/2022 22:48,7032,,Blk18 L2 SDO Corri Dr,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,12/04/2022 04:57,ED0334,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,12/04/2022 04:57,ED0334,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
Date&Time,Card #,Name,Location,Transaction,12/04/2022 04:57,ED0334,,Blk 1 L1 Main Side Door,Access Granted,Report All     Ver 1.3,page,1,of,1
